en,en-au,pos,description
unrecognized,unrecognised,adjective,
unsavory,unsavoury,adjective,
unserialized,unserialised,verb,
unserializing,unserialising,verb,
url,URL,noun,capitalisation
URL's,URLs,noun,
useable,usable,adjective,
utilize,utilise,verb,
utilized,utilised,verb,
utilizes,utilises,verb,
utilizing,utilising,verb,
vectorize,vectorise,verb,
virtualization,virtualisation,noun,
virtualize,virtualise,verb,
virtualized,virtualised,verb,
virtualizes,virtualises,verb,
virtualizing,virtualising,verb,
visualization,visualisation,noun,
visualize,visualise,verb,
visualized,visualised,verb,
visualizes,visualises,verb,
visualizing,visualising,verb,
widgetized,widgetised,verb,
WooCommerce,WooCommerce,noun,"correct capitalisation"
Wordpress,WordPress,noun,"capital P dangit!"
writeable,writable,adjective,"Both are correct, but Google ngrams show writable is the more popular in en-GB"
"ZIP code",,noun,"Don't translate this, it's problematic because we cannot know the context of a plugin's visitor base; Americans don’t know what a Postal Code is, Brits got confused with a ZIP code, etc."
